n_foragers,perception,forward_bias,rep,gini,mean_latency
2,2.0,0.95,0,0.14512158251630458,0.5802919708029197
2,2.0,0.95,1,0.09381245346604494,0.5794701986754967
2,2.0,0.95,2,0.1360366631859844,0.7941176470588235
2,2.0,0.95,3,0.168179353591551,0.6294820717131474
2,2.0,0.95,4,0.1615384615384614,0.573076923076923
2,2.0,0.95,5,0.1684314336136199,0.6754385964912281
3,0.8,0.3,0,0.10650887573964485,1.7218543046357615
3,0.8,0.3,1,0.01183431952662728,1.4431137724550898
3,0.8,0.3,2,0.23076923076923084,1.3923076923076922
3,0.8,0.3,3,0.3372781065088757,1.75
3,0.8,0.3,4,0.18343195266272194,1.2753623188405796
3,0.8,0.3,5,0.34911242603550297,1.490909090909091
3,0.8,0.7,0,0.15976331360946738,1.380281690140845
3,0.8,0.7,1,0.15976331360946738,0.6197183098591549
3,0.8,0.7,2,0.12426035502958577,1.804054054054054
3,0.8,0.7,3,0.12426035502958577,1.364864864864865
3,0.8,0.7,4,0.035502958579881616,0.9263803680981595
3,0.8,0.7,5,0.10650887573964485,1.3311258278145695
3,0.8,0.95,0,0.13379193750546525,1.2167487684729064
3,0.8,0.95,1,0.4378698224852071,3.0105263157894737
3,0.8,0.95,2,0.01183431952662728,1.0718562874251496
3,0.8,0.95,3,0.20118343195266264,2.2666666666666666
3,0.8,0.95,4,0.07100591715976323,1.1719745222929936
3,0.8,0.95,5,0.3254437869822484,1.4035087719298245
3,1.2,0.3,0,0.07100591715976323,1.9044585987261147
3,1.2,0.3,1,0.053254437869822535,1.025
3,1.2,0.3,2,0.00584754611903926,0.9294117647058824
3,1.2,0.3,3,0.09679227654936162,0.868421052631579
3,1.2,0.3,4,0.03306846999154689,0.9942857142857143
3,1.2,0.3,5,0.14958355534367196,0.8720379146919431
3,1.2,0.7,0,0.08970162407150939,0.9414893617021277
3,1.2,0.7,1,0.029585798816567976,1.2865853658536586
3,1.2,0.7,2,0.029585798816567976,0.7926829268292683
3,1.2,0.7,3,0.10980296468004624,0.8969072164948454
3,1.2,0.7,4,0.08284023668639051,1.5741935483870968
3,1.2,0.7,5,0.1713469060274797,0.847457627118644
3,1.2,0.95,0,0.17135312240207345,1.06198347107438
3,1.2,0.95,1,0.14652014652014644,0.9047619047619048
3,1.2,0.95,2,0.16760589837512918,1.1388888888888888
3,1.2,0.95,3,0.16386801002185614,1.0495495495495495
3,1.2,0.95,4,0.16781794958684149,1.0572687224669604
3,1.2,0.95,5,0.1709671161121349,0.8483606557377049
3,2.0,0.3,0,0.09158904056086081,0.6402640264026402
3,2.0,0.3,1,0.07774650045001041,0.6925566343042071
3,2.0,0.3,2,0.170940170940171,0.8846153846153846
3,2.0,0.3,3,0.027035298918588024,0.6005747126436781
3,2.0,0.3,4,0.16871005917159754,0.924
3,2.0,0.3,5,0.09158904056086081,0.759075907590759
3,2.0,0.7,0,0.020272082089418886,0.6253776435045317
3,2.0,0.7,1,0.01944944687419592,0.7072463768115942
3,2.0,0.7,2,0.14921723181728863,0.4797047970479705
3,2.0,0.7,3,0.10669282889290854,0.8652849740932642
3,2.0,0.7,4,0.028683792755087367,0.725609756097561
3,2.0,0.7,5,0.011692591149062848,0.8203592814371258
3,2.0,0.95,0,0.047632214418698915,0.8006230529595015
3,2.0,0.95,1,0.08011219549681092,0.538961038961039
3,2.0,0.95,2,0.08812725735802651,0.6207792207792208
3,2.0,0.95,3,0.07706508875739648,0.5866666666666667
3,2.0,0.95,4,0.020272082089418886,0.6827794561933535
3,2.0,0.95,5,0.11850642725974292,0.6379310344827587
4,0.8,0.3,0,0.12426035502958577,1.0810810810810811
4,0.8,0.3,1,0.18934911242603558,2.240875912408759
4,0.8,0.3,2,0.15384615384615374,1.5804195804195804
4,0.8,0.3,3,0.3254437869822484,1.4385964912280702
