wasp_id,cell_id,amt,time,bout_id
13,24,38,2,
13,24,2,38,26.0
60,10,38,2,
60,10,2,38,27.0
41,17,38,2,
41,17,2,38,27.0
46,3,38,2,
46,3,2,38,27.0
39,1,38,2,
39,1,2,38,27.0
0,3,38,1,
0,3,1,38,27.0
33,165,38,2,
33,165,2,38,27.0
56,2,38,2,
56,2,2,38,27.0
2,3,39,2,
2,3,2,39,27.0
75,3,39,2,
75,3,2,39,27.0
44,159,39,2,
44,159,2,39,27.0
69,2,39,2,
69,2,2,39,27.0
71,14,39,2,
71,14,2,39,27.0
5,2,39,2,
5,2,2,39,27.0
0,3,40,2,
0,3,2,40,27.0
72,23,40,2,
72,23,2,40,27.0
41,184,40,2,
41,184,2,40,27.0
71,164,40,2,
71,164,2,40,27.0
4,176,40,2,
4,176,2,40,27.0
56,2,40,2,
56,2,2,40,27.0
61,158,41,2,
61,158,2,41,27.0
39,159,41,2,
39,159,2,41,27.0
33,15,41,2,
33,15,2,41,28.0
60,9,41,2,
60,9,2,41,28.0
69,2,42,2,
69,2,2,42,28.0
6,160,42,2,
6,160,2,42,28.0
4,26,42,2,
4,26,2,42,29.0
57,3,42,2,
57,3,2,42,29.0
5,2,42,2,
5,2,2,42,29.0
17,161,43,2,
17,161,2,43,29.0
69,2,43,1,
69,2,1,43,29.0
56,2,43,2,
56,2,2,43,29.0
0,3,43,2,
0,3,2,43,29.0
3,18,43,1,
3,18,1,43,29.0
39,165,44,2,
39,165,2,44,29.0
61,164,44,2,
61,164,2,44,29.0
60,3,44,2,
60,3,2,44,29.0
13,23,44,1,
13,23,1,44,29.0
4,184,44,2,
4,184,2,44,29.0
5,2,44,2,
5,2,2,44,29.0
33,10,45,2,
33,10,2,45,29.0
56,2,45,2,
56,2,2,45,29.0
72,181,45,2,
72,181,2,45,29.0
50,18,46,2,
50,18,2,46,29.0
17,162,46,1,
17,162,1,46,29.0
3,5,46,2,
3,5,2,46,29.0
69,2,46,2,
69,2,2,46,29.0
0,4,46,2,
0,4,2,46,30.0
33,161,47,2,
33,161,2,47,30.0
60,2,47,2,
60,2,2,47,30.0
46,8,48,2,
46,8,2,48,30.0
36,3,48,1,
36,3,1,48,30.0
0,4,48,2,
0,4,2,48,30.0
