wasp_id,cell_id,amt,time,bout_id
28,166,2,60,31.0
41,17,60,1,
41,17,1,60,31.0
9,9,60,2,
9,9,2,60,31.0
27,174,60,2,
27,174,2,60,31.0
36,13,60,2,
36,13,2,60,31.0
16,1,60,2,
16,1,2,60,31.0
20,199,61,2,
20,199,2,61,31.0
43,175,61,2,
43,175,2,61,31.0
39,2,61,2,
39,2,2,61,31.0
33,15,61,1,
33,15,1,61,31.0
6,174,62,2,
6,174,2,62,31.0
39,2,62,2,
39,2,2,62,31.0
28,160,62,2,
28,160,2,62,31.0
43,17,62,2,
43,17,2,62,31.0
17,181,62,2,
17,181,2,62,31.0
36,171,62,2,
36,171,2,62,31.0
42,160,62,2,
42,160,2,62,31.0
41,17,62,2,
41,17,2,62,31.0
27,9,62,2,
27,9,2,62,31.0
15,8,63,2,
15,8,2,63,31.0
22,33,63,2,
22,33,2,63,31.0
26,3,63,2,
26,3,2,63,31.0
16,158,63,2,
16,158,2,63,31.0
33,174,64,2,
33,174,2,64,31.0
29,17,64,2,
29,17,2,64,31.0
6,15,64,1,
6,15,1,64,31.0
27,3,64,2,
27,3,2,64,31.0
39,2,64,1,
39,2,1,64,31.0
39,2,65,2,
39,2,2,65,31.0
41,17,65,2,
41,17,2,65,31.0
15,3,65,2,
15,3,2,65,31.0
17,22,65,2,
17,22,2,65,31.0
29,173,66,2,
29,173,2,66,31.0
33,16,66,1,
33,16,1,66,31.0
27,3,67,2,
27,3,2,67,31.0
39,2,67,2,
39,2,2,67,31.0
29,14,68,2,
29,14,2,68,31.0
22,183,68,2,
22,183,2,68,31.0
41,17,68,2,
41,17,2,68,31.0
33,166,68,2,
33,166,2,68,31.0
39,2,69,2,
39,2,2,69,31.0
27,3,69,2,
27,3,2,69,31.0
33,2,70,2,
33,2,2,70,31.0
41,17,70,2,
41,17,2,70,31.0
27,3,71,2,
27,3,2,71,31.0
43,160,71,2,
43,160,2,71,31.0
21,3,71,2,
21,3,2,71,31.0
39,2,72,2,
39,2,2,72,31.0
27,3,73,2,
27,3,2,73,31.0
14,3,74,2,
14,3,2,74,31.0
28,2,74,2,
28,2,2,74,31.0
33,2,74,2,
33,2,2,74,31.0
