wasp_id,cell_id,amt,time,bout_id
42,22,2,166,28.0
6,3,166,2,
6,3,2,166,28.0
21,3,166,2,
21,3,2,166,28.0
32,158,167,2,
32,158,2,167,28.0
13,3,167,2,
13,3,2,167,28.0
5,2,167,2,
5,2,2,167,28.0
11,158,168,2,
11,158,2,168,28.0
39,158,169,2,
39,158,2,169,28.0
23,17,169,2,
23,17,2,169,28.0
36,158,170,2,
36,158,2,170,28.0
34,33,170,2,
34,33,2,170,28.0
6,3,170,2,
6,3,2,170,28.0
13,161,171,2,
13,161,2,171,28.0
11,158,171,2,
11,158,2,171,29.0
34,173,172,2,
34,173,2,172,29.0
44,24,172,2,
44,24,2,172,29.0
13,9,173,2,
13,9,2,173,29.0
32,171,173,2,
32,171,2,173,29.0
5,7,173,2,
5,7,2,173,29.0
30,1,173,2,
30,1,2,173,29.0
15,1,173,2,
15,1,2,173,29.0
36,159,175,2,
36,159,2,175,29.0
34,13,175,2,
34,13,2,175,29.0
2,2,176,2,
2,2,2,176,29.0
11,164,176,1,
11,164,1,176,29.0
39,3,176,2,
39,3,2,176,29.0
37,161,176,2,
37,161,2,176,29.0
21,160,177,2,
21,160,2,177,29.0
40,3,177,2,
40,3,2,177,30.0
36,1,177,2,
36,1,2,177,30.0
30,6,178,2,
30,6,2,178,30.0
11,6,178,2,
11,6,2,178,30.0
2,3,178,2,
2,3,2,178,30.0
32,180,178,2,
32,180,2,178,30.0
34,6,179,2,
34,6,2,179,31.0
36,1,179,2,
36,1,2,179,31.0
6,160,179,2,
6,160,2,179,31.0
44,4,179,1,
44,4,1,179,31.0
11,0,180,2,
11,0,2,180,31.0
2,4,180,2,
2,4,2,180,31.0
44,4,181,2,
44,4,2,181,32.0
34,171,182,2,
34,171,2,182,33.0
2,4,182,2,
2,4,2,182,33.0
18,16,183,2,
18,16,2,183,33.0
31,3,183,2,
31,3,2,183,33.0
44,4,183,2,
44,4,2,183,33.0
36,2,184,2,
36,2,2,184,35.0
44,4,185,2,
44,4,2,185,35.0
36,2,186,1,
36,2,1,186,35.0
40,3,186,2,
40,3,2,186,35.0
37,3,186,2,
37,3,2,186,35.0
24,3,186,1,
24,3,1,186,35.0
2,4,186,2,
2,4,2,186,35.0
11,171,186,2,
11,171,2,186,35.0
31,3,187,2,
31,3,2,187,35.0
44,4,187,2,
44,4,2,187,35.0
2,4,188,2,
2,4,2,188,35.0
13,161,189,2,
13,161,2,189,35.0
5,3,189,2,
5,3,2,189,35.0
44,4,189,2,
44,4,2,189,35.0
21,3,189,1,
21,3,1,189,35.0
2,4,190,2,
2,4,2,190,35.0
6,160,191,2,
6,160,2,191,35.0
35,3,191,2,
35,3,2,191,35.0
11,171,191,2,
11,171,2,191,35.0
40,161,192,2,
40,161,2,192,35.0
36,2,192,2,
36,2,2,192,35.0
44,4,192,1,
44,4,1,192,35.0
24,166,193,1,
24,166,1,193,35.0
2,4,193,2,
2,4,2,193,35.0
40,4,194,2,
40,4,2,194,35.0
36,2,194,2,
36,2,2,194,35.0
44,4,194,2,
44,4,2,194,35.0
13,4,195,2,
13,4,2,195,35.0
24,174,195,2,
24,174,2,195,35.0
11,180,195,2,
11,180,2,195,35.0
36,190,197,2,
36,190,2,197,35.0
2,167,197,2,
2,167,2,197,35.0
44,4,197,2,
44,4,2,197,35.0
39,4,197,2,
39,4,2,197,35.0
44,4,199,2,
44,4,2,199,35.0
2,3,200,2,
2,3,2,200,35.0
11,171,200,2,
11,171,2,200,35.0
3,172,208,1,
3,172,1,208,35.0
11,15,209,2,
11,15,2,209,35.0
36,326,211,2,
36,326,2,211,35.0
32,158,212,2,
32,158,2,212,35.0
2,24,212,2,
2,24,2,212,35.0
18,160,212,2,
18,160,2,212,35.0
7,31,213,2,
7,31,2,213,35.0
9,15,213,2,
9,15,2,213,35.0
11,174,213,2,
11,174,2,213,35.0
3,14,213,2,
3,14,2,213,35.0
42,33,213,2,
42,33,2,213,35.0
34,306,213,2,
34,306,2,213,35.0
8,160,214,2,
8,160,2,214,36.0
11,183,215,2,
11,183,2,215,36.0
23,165,215,2,
23,165,2,215,36.0
24,4,215,2,
24,4,2,215,36.0
8,2,216,2,
8,2,2,216,36.0
24,4,217,2,
24,4,2,217,36.0
21,3,217,2,
21,3,2,217,36.0
3,1,217,2,
3,1,2,217,36.0
11,181,220,2,
11,181,2,220,36.0
28,200,220,2,
28,200,2,220,36.0
2,175,220,2,
2,175,2,220,36.0
13,3,221,2,
13,3,2,221,36.0
3,16,221,2,
3,16,2,221,36.0
8,7,221,2,
8,7,2,221,36.0
2,175,222,2,
2,175,2,222,36.0
11,181,222,2,
11,181,2,222,36.0
9,3,222,2,
9,3,2,222,36.0
24,8,222,2,
24,8,2,222,36.0
13,8,223,2,
13,8,2,223,36.0
21,160,223,2,
21,160,2,223,36.0
18,4,223,2,
18,4,2,223,36.0
8,14,223,2,
8,14,2,223,36.0
42,328,224,2,
42,328,2,224,36.0
11,199,227,2,
11,199,2,227,36.0
2,17,227,2,
2,17,2,227,36.0
8,180,227,2,
8,180,2,227,36.0
31,160,227,2,
31,160,2,227,36.0
39,3,227,2,
39,3,2,227,36.0
3,180,227,2,
3,180,2,227,36.0
35,160,227,2,
35,160,2,227,36.0
